period,reporterDesc,partnerDesc,cmdCode,qty,altQty,netWgt,Merge_qty,primaryValue
2017,Ghana,World,7108,197809.923,0,,197809.923,"$5,858,280,934.89"
2017,Ghana,Australia,7108,28.14,28.14,28.14,28.14,"$1,103,009.85"
2017,Ghana,Belgium,7108,20.74,20.74,20.74,20.74,"$927,456.05"
2017,Ghana,Brazil,7108,0.59,0.59,0.59,0.59,"$4,926.13"
2017,Ghana,Canada,7108,0.46,0.46,0.46,0.46,"$19,401.24"
2017,Ghana,Germany,7108,5.43,5.43,5.43,5.43,"$195,402.13"
2017,Ghana,"China, Hong Kong SAR",7108,1247.5,1247.5,1247.5,1247.5,"$51,276,844.51"
2017,Ghana,Italy,7108,13.47,13.47,13.47,13.47,"$581,452.34"
2017,Ghana,Japan,7108,23.12,23.12,13.47,23.12,"$995,810.06"
2017,Ghana,Rep. of Korea,7108,51.87,51.87,13.47,51.87,"$2,196,377.09"
2017,Ghana,Lebanon,7108,574.61,574.61,13.47,574.61,"$23,268,104.93"
2017,Ghana,Malaysia,7108,0.9,0.9,13.47,0.9,"$38,253.57"
2017,Ghana,"Other Asia, nes",7108,0.94,0.94,13.47,0.94,"$37,542.60"
2017,Ghana,Netherlands,7108,1,1,13.47,1,"$41,255.95"
2017,Ghana,Pakistan,7108,139.883,0,,139.883,"$4,105,327.19"
2017,Ghana,Portugal,7108,0.7,0.7,0.7,0.7,"$25,830.98"
2017,Ghana,Qatar,7108,1.8,1.8,1.8,1.8,"$77,905.45"
2017,Ghana,India,7108,100504.94,100504.94,100504.94,100504.94,"$2,535,781,564.10"
2017,Ghana,Singapore,7108,12.87,12.87,12.87,12.87,"$538,242.74"
2017,Ghana,South Africa,7108,24933.8,24933.8,24933.8,24933.8,"$851,745,412.33"
2017,Ghana,Spain,7108,107.54,107.54,107.54,107.54,"$4,390,233.79"
2017,Ghana,Switzerland,7108,51736.5,51736.5,51736.5,51736.5,"$1,630,355,637.74"
2017,Ghana,United Arab Emirates,7108,17339.75,17339.75,17339.75,17339.75,"$707,254,172.46"
2017,Ghana,Türkiye,7108,809.83,809.83,809.83,809.83,"$33,812,873.50"
2017,Ghana,United Kingdom,7108,7.94,7.94,7.94,7.94,"$355,578.53"
